[07/11 14:43:53] detectron2 INFO: Rank of current process: 0. World size: 4
[07/11 14:43:53] detectron2 INFO: Full config saved to checkpoints/voc/ours/fsod1/5shot/seed7/config.yaml
[07/11 14:43:54] fvcore.common.checkpoint INFO: [Checkpointer] Loading from ./pretrain/R-101.pkl ...
[07/11 14:43:54] fvcore.common.checkpoint INFO: Reading a file from 'torchvision'
[07/11 14:44:04] detectron2 INFO: Loss: 0.0005
[07/11 14:44:04] detectron2 INFO: [CLS] Use dropout: p = 0.8
[07/11 14:44:04] detectron2 INFO: [Refine] n = 24, α = 0.1
[07/11 14:44:04] d2.data.build INFO: Removed 0 images with no usable annotations. 100 images left.
[07/11 14:44:04] d2.data.build INFO: Distribution of instances among all 20 categories:
[36m|  category  | #instances   |  category   | #instances   |  category   | #instances   |
|:----------:|:-------------|:-----------:|:-------------|:-----------:|:-------------|
| aeroplane  | 5            |   bicycle   | 5            |    boat     | 5            |
|   bottle   | 5            |     car     | 5            |     cat     | 5            |
|   chair    | 5            | diningtable | 5            |     dog     | 5            |
|   horse    | 5            |   person    | 5            | pottedplant | 5            |
|   sheep    | 5            |    train    | 5            |  tvmonitor  | 5            |
|    bird    | 5            |     bus     | 5            |     cow     | 5            |
| motorbike  | 5            |    sofa     | 5            |             |              |
|   total    | 100          |             |              |             |              |[0m
[07/11 14:44:04] d2.data.dataset_mapper INFO: [DatasetMapper] Augmentations used in training: [ResizeShortestEdge(short_edge_length=..., max_size=1333, sample_style='choice'), RandomFlip()]
[07/11 14:44:04] d2.data.build INFO: Using training sampler TrainingSampler
[07/11 14:44:04] d2.data.common INFO: Serializing 100 elements to byte tensors and concatenating them all ...
[07/11 14:44:04] d2.data.common INFO: Serialized dataset takes 0.03 MiB
[07/11 14:44:04] fvcore.common.checkpoint INFO: [Checkpointer] Loading from checkpoints/voc/ours/base1/model_final-fsod.pth ...
[07/11 14:44:04] fvcore.common.checkpoint WARNING: Some model parameters or buffers are not found in the checkpoint:
[34mroi_heads.box_predictor.fc.weight[0m
[34mroi_heads.box_predictor.fsup[0m
[07/11 14:44:04] d2.engine.train_loop INFO: Starting training from iteration 0
[07/11 14:44:19] d2.utils.events INFO:  eta: 0:20:13  iter: 19  total_loss: 0.6072  loss_cls: 0.3514  loss_box_reg: 0.07589  loss_rpn_cls: 0.07626  loss_rpn_loc: 0.09795  time: 0.4864  data_time: 0.2513  lr: 0.0001  max_mem: 6886M
[07/11 14:44:29] d2.utils.events INFO:  eta: 0:20:09  iter: 39  total_loss: 0.4298  loss_cls: 0.1824  loss_box_reg: 0.07398  loss_rpn_cls: 0.06602  loss_rpn_loc: 0.09188  time: 0.4920  data_time: 0.0164  lr: 0.0001  max_mem: 6949M
[07/11 14:44:38] d2.utils.events INFO:  eta: 0:19:52  iter: 59  total_loss: 0.371  loss_cls: 0.1568  loss_box_reg: 0.07591  loss_rpn_cls: 0.06229  loss_rpn_loc: 0.08448  time: 0.4890  data_time: 0.0132  lr: 0.0001  max_mem: 6949M
[07/11 14:44:48] d2.utils.events INFO:  eta: 0:19:45  iter: 79  total_loss: 0.3564  loss_cls: 0.1373  loss_box_reg: 0.07144  loss_rpn_cls: 0.05536  loss_rpn_loc: 0.08213  time: 0.4902  data_time: 0.0135  lr: 0.0001  max_mem: 6949M
[07/11 14:44:58] d2.utils.events INFO:  eta: 0:19:35  iter: 99  total_loss: 0.3319  loss_cls: 0.1274  loss_box_reg: 0.07318  loss_rpn_cls: 0.0533  loss_rpn_loc: 0.07136  time: 0.4900  data_time: 0.0124  lr: 0.0001  max_mem: 6949M
[07/11 14:45:08] d2.utils.events INFO:  eta: 0:19:22  iter: 119  total_loss: 0.3074  loss_cls: 0.1282  loss_box_reg: 0.07196  loss_rpn_cls: 0.04924  loss_rpn_loc: 0.07291  time: 0.4884  data_time: 0.0126  lr: 0.0001  max_mem: 6949M
[07/11 14:45:17] d2.utils.events INFO:  eta: 0:19:09  iter: 139  total_loss: 0.3186  loss_cls: 0.1202  loss_box_reg: 0.07242  loss_rpn_cls: 0.04771  loss_rpn_loc: 0.07368  time: 0.4871  data_time: 0.0109  lr: 0.0001  max_mem: 6949M
[07/11 14:45:27] d2.utils.events INFO:  eta: 0:18:58  iter: 159  total_loss: 0.2983  loss_cls: 0.1122  loss_box_reg: 0.06801  loss_rpn_cls: 0.0523  loss_rpn_loc: 0.07085  time: 0.4866  data_time: 0.0130  lr: 0.0001  max_mem: 6949M
[07/11 14:45:37] d2.utils.events INFO:  eta: 0:18:47  iter: 179  total_loss: 0.3011  loss_cls: 0.1024  loss_box_reg: 0.06714  loss_rpn_cls: 0.05025  loss_rpn_loc: 0.08475  time: 0.4872  data_time: 0.0136  lr: 0.0001  max_mem: 7040M
[07/11 14:45:46] d2.utils.events INFO:  eta: 0:18:32  iter: 199  total_loss: 0.2981  loss_cls: 0.1073  loss_box_reg: 0.06879  loss_rpn_cls: 0.04419  loss_rpn_loc: 0.07522  time: 0.4864  data_time: 0.0123  lr: 0.0001  max_mem: 7040M
[07/11 14:45:56] d2.utils.events INFO:  eta: 0:18:25  iter: 219  total_loss: 0.2777  loss_cls: 0.1033  loss_box_reg: 0.0617  loss_rpn_cls: 0.04443  loss_rpn_loc: 0.06748  time: 0.4877  data_time: 0.0135  lr: 0.0001  max_mem: 7040M
